Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,GEO_Accession (exp),tissue,Cell_type
SRR7961205,RNA-Seq,49,693826875,PRJNA494560,SAMN10172377,297551213,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794856,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415764,"Colon\, epithelium",SRP163252,,"Colon\, epithelium",
SRR7961206,RNA-Seq,49,654716651,PRJNA494560,SAMN10172376,273967446,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794857,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415765,"Colon\, epithelium",SRP163252,,"Colon\, epithelium",
SRR7961207,RNA-Seq,49,1207843690,PRJNA494560,SAMN10172375,516014691,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794858,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415766,Liver,SRP163252,GSM3415766,Liver,
SRR7961208,RNA-Seq,49,740765745,PRJNA494560,SAMN10172374,317327854,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794859,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415767,Liver,SRP163252,GSM3415767,Liver,
SRR7961209,RNA-Seq,49,684380922,PRJNA494560,SAMN10172373,293408592,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794860,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415768,Liver,SRP163252,GSM3415768,Liver,
SRR7961210,RNA-Seq,49,772689985,PRJNA494560,SAMN10172372,329816145,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794861,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415769,Liver,SRP163252,GSM3415769,Liver,
SRR7961211,RNA-Seq,49,826025383,PRJNA494560,SAMN10172371,352739666,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794862,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415770,Liver,SRP163252,GSM3415770,Liver,
SRR7961212,RNA-Seq,49,797746514,PRJNA494560,SAMN10172370,342694586,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794863,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415771,Liver,SRP163252,GSM3415771,Liver,
SRR7961213,RNA-Seq,49,782289638,PRJNA494560,SAMN10172369,335853402,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794864,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415772,Brain (mixed white and gray matter),SRP163252,GSM3415772,Brain (mixed white and gray matter),
SRR7961214,RNA-Seq,49,806029325,PRJNA494560,SAMN10172368,346540180,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794865,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415773,Brain (mixed white and gray matter),SRP163252,GSM3415773,Brain (mixed white and gray matter),
SRR7961215,RNA-Seq,49,996988972,PRJNA494560,SAMN10172367,428649084,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794866,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415774,Brain (mixed white and gray matter),SRP163252,GSM3415774,Brain (mixed white and gray matter),
SRR7961216,RNA-Seq,49,761252598,PRJNA494560,SAMN10172366,327343214,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794867,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415775,Brain (mixed white and gray matter),SRP163252,GSM3415775,Brain (mixed white and gray matter),
SRR7961217,RNA-Seq,49,858862602,PRJNA494560,SAMN10172365,332835522,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794868,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415776,Brain (mixed white and gray matter),SRP163252,GSM3415776,Brain (mixed white and gray matter),
SRR7961218,RNA-Seq,49,1083996647,PRJNA494560,SAMN10172364,420094152,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794869,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415777,Brain (mixed white and gray matter),SRP163252,GSM3415777,Brain (mixed white and gray matter),
SRR7961219,RNA-Seq,49,954587337,PRJNA494560,SAMN10172363,371066889,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794870,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415778,Lung,SRP163252,GSM3415778,Lung,
SRR7961220,RNA-Seq,49,713261458,PRJNA494560,SAMN10172391,278247986,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794871,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415779,Lung,SRP163252,GSM3415779,Lung,
SRR7961221,RNA-Seq,49,897064115,PRJNA494560,SAMN10172390,347720545,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794872,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415780,Lung,SRP163252,GSM3415780,Lung,
SRR7961222,RNA-Seq,49,1184276479,PRJNA494560,SAMN10172389,458438263,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794873,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415781,Lung,SRP163252,GSM3415781,Lung,
SRR7961223,RNA-Seq,49,876885772,PRJNA494560,SAMN10172388,339284308,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794874,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415782,Lung,SRP163252,GSM3415782,Lung,
SRR7961224,RNA-Seq,49,754323711,PRJNA494560,SAMN10172387,292039840,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794875,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415783,"Cervix\, endometrium",SRP163252,GSM3415783,"Cervix\, endometrium",
SRR7961225,RNA-Seq,49,878235471,PRJNA494560,SAMN10172386,341320362,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794876,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415784,"Cervix\, endometrium",SRP163252,GSM3415784,"Cervix\, endometrium",
SRR7961226,RNA-Seq,49,827086649,PRJNA494560,SAMN10172385,319801905,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794877,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415785,Ovary,SRP163252,GSM3415785,Ovary,
SRR7961227,RNA-Seq,49,859875076,PRJNA494560,SAMN10172384,333769803,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794878,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415786,Ovary,SRP163252,GSM3415786,Ovary,
SRR7961228,RNA-Seq,49,869953770,PRJNA494560,SAMN10172383,338543305,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794879,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415787,Prostate,SRP163252,GSM3415787,Prostate,
SRR7961229,RNA-Seq,49,775512266,PRJNA494560,SAMN10172382,300203763,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794880,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415788,Prostate,SRP163252,GSM3415788,Prostate,
SRR7961230,RNA-Seq,49,808908110,PRJNA494560,SAMN10172381,313266657,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794881,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415789,Prostate,SRP163252,GSM3415789,Prostate,
SRR7961231,RNA-Seq,49,796266071,PRJNA494560,SAMN10172416,308622157,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794882,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415790,Esophagus,SRP163252,GSM3415790,Esophagus,
SRR7961232,RNA-Seq,49,875645222,PRJNA494560,SAMN10172415,339861345,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794883,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415791,Esophagus,SRP163252,GSM3415791,Esophagus,
SRR7961233,RNA-Seq,49,856887911,PRJNA494560,SAMN10172414,333898318,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794884,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415792,Esophagus,SRP163252,GSM3415792,Esophagus,
SRR7961234,RNA-Seq,49,872526522,PRJNA494560,SAMN10172413,339860001,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794885,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415793,Esophagus,SRP163252,GSM3415793,Esophagus,
SRR7961235,RNA-Seq,48,796294779,PRJNA494560,SAMN10172412,311526313,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794886,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415794,Esophagus,SRP163252,GSM3415794,Esophagus,
SRR7961236,RNA-Seq,49,477672272,PRJNA494560,SAMN10172411,184168285,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794887,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415795,Esophagus,SRP163252,GSM3415795,Esophagus,
SRR7961237,RNA-Seq,49,1077777412,PRJNA494560,SAMN10172417,416407596,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794888,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415796,Stomach,SRP163252,GSM3415796,Stomach,
SRR7961238,RNA-Seq,49,610168615,PRJNA494560,SAMN10172410,238728401,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794889,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415797,Stomach,SRP163252,GSM3415797,Stomach,
SRR7961239,RNA-Seq,49,1189364299,PRJNA494560,SAMN10172409,457640791,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794890,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415798,Stomach,SRP163252,GSM3415798,Stomach,
SRR7961240,RNA-Seq,49,475802026,PRJNA494560,SAMN10172408,184440856,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794891,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415799,Stomach,SRP163252,GSM3415799,Stomach,
SRR7961241,RNA-Seq,49,895716550,PRJNA494560,SAMN10172407,353584259,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794892,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415800,Stomach,SRP163252,GSM3415800,Stomach,
SRR7961242,RNA-Seq,49,1153078737,PRJNA494560,SAMN10172406,446891506,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794893,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415801,Stomach,SRP163252,GSM3415801,Stomach,
SRR7961243,RNA-Seq,49,908198052,PRJNA494560,SAMN10172405,359908144,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794894,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415802,Mammary gland,SRP163252,GSM3415802,Mammary gland,
SRR7961244,RNA-Seq,49,955065707,PRJNA494560,SAMN10172404,377125533,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794895,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415803,Mammary gland,SRP163252,GSM3415803,Mammary gland,
SRR7961245,RNA-Seq,49,771556438,PRJNA494560,SAMN10172403,306681175,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794896,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415804,Mammary gland,SRP163252,GSM3415804,Mammary gland,
SRR7961246,RNA-Seq,49,1185645806,PRJNA494560,SAMN10172402,475390963,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794897,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415805,Colon,SRP163252,GSM3415805,Colon,
SRR7961247,RNA-Seq,49,1934098017,PRJNA494560,SAMN10172401,769413850,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794898,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415806,Stomach,SRP163252,GSM3415806,Stomach,
SRR7961248,RNA-Seq,49,1533122469,PRJNA494560,SAMN10172400,623087496,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794899,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415807,Thyroid gland,SRP163252,GSM3415807,Thyroid gland,
SRR7961249,RNA-Seq,49,1923815006,PRJNA494560,SAMN10172399,765610845,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794900,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415808,Pancreas,SRP163252,GSM3415808,Pancreas,
SRR7961250,RNA-Seq,49,1786226479,PRJNA494560,SAMN10172398,732840238,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794901,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415809,Tonsil,SRP163252,GSM3415809,Tonsil,
SRR7961251,RNA-Seq,49,1364452937,PRJNA494560,SAMN10172397,529869707,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794902,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415810,Skeletal muscle,SRP163252,GSM3415810,Skeletal muscle,
SRR7961252,RNA-Seq,49,1491314890,PRJNA494560,SAMN10172396,563095156,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794903,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415811,Small inestine,SRP163252,GSM3415811,Small inestine,
SRR7961253,RNA-Seq,49,1489932749,PRJNA494560,SAMN10172395,562710202,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794904,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415812,Adrenal gland,SRP163252,GSM3415812,Adrenal gland,
SRR7961254,RNA-Seq,49,2052284640,PRJNA494560,SAMN10172394,793711421,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794905,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415813,Colon,SRP163252,GSM3415813,Colon,
SRR7961255,RNA-Seq,49,1580673412,PRJNA494560,SAMN10172393,623954174,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794906,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415814,Lung,SRP163252,GSM3415814,Lung,
SRR7961256,RNA-Seq,49,1924679208,PRJNA494560,SAMN10172447,770606548,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794907,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415815,Stomach,SRP163252,GSM3415815,Stomach,
SRR7961257,RNA-Seq,49,1204685844,PRJNA494560,SAMN10172446,490634874,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794908,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415816,Thyroid gland,SRP163252,GSM3415816,Thyroid gland,
SRR7961258,RNA-Seq,49,1956558960,PRJNA494560,SAMN10172445,774279481,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794909,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415817,Pancreas,SRP163252,GSM3415817,Pancreas,
SRR7961259,RNA-Seq,49,2232828858,PRJNA494560,SAMN10172444,872038098,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794910,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415818,Skeletal muscle,SRP163252,GSM3415818,Skeletal muscle,
SRR7961260,RNA-Seq,49,1479558396,PRJNA494560,SAMN10172443,558051323,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794911,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415819,Small inestine,SRP163252,GSM3415819,Small inestine,
SRR7961261,RNA-Seq,49,2541342521,PRJNA494560,SAMN10172442,987953457,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794912,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415820,Adrenal gland,SRP163252,GSM3415820,Adrenal gland,
